season,R,G,B
autumn deep,196,121,0
autumn deep,220,136,0
autumn deep,255,167,0
autumn deep,255,182,0
autumn deep,71,48,44
autumn deep,80,54,50
autumn deep,97,67,61
autumn deep,106,73,67
autumn deep,17,59,92
autumn deep,19,66,104
autumn deep,24,81,127
autumn deep,26,88,139
autumn deep,51,20,45
autumn deep,57,22,51
autumn deep,70,27,62
autumn deep,76,30,68
autumn deep,21,48,0
autumn deep,24,54,0
autumn deep,29,67,0
autumn deep,32,73,0
autumn deep,204,168,0
autumn deep,229,189,0
autumn deep,255,231,0
autumn deep,255,252,0
autumn deep,80,84,62
autumn deep,90,95,70
autumn deep,111,116,85
autumn deep,121,127,93
autumn deep,76,36,17
autumn deep,85,41,19
autumn deep,104,50,24
autumn deep,114,55,26
autumn deep,35,15,4
autumn deep,39,17,5
autumn deep,48,20,6
autumn deep,52,22,7
autumn deep,181,28,0
autumn deep,204,32,0
autumn deep,249,39,0
autumn deep,255,43,0
