season,R,G,B
autumn soft,119,96,134
autumn soft,134,108,151
autumn soft,163,133,184
autumn soft,178,145,201
autumn soft,179,107,101
autumn soft,201,120,114
autumn soft,246,147,139
autumn soft,255,160,152
autumn soft,86,152,152
autumn soft,97,171,171
autumn soft,118,209,209
autumn soft,129,228,228
autumn soft,39,80,116
autumn soft,44,90,131
autumn soft,53,110,160
autumn soft,58,120,175
autumn soft,45,85,26
autumn soft,51,96,29
autumn soft,62,117,36
autumn soft,68,128,39
autumn soft,184,90,47
autumn soft,207,101,53
autumn soft,254,124,64
autumn soft,255,135,70
autumn soft,80,84,62
autumn soft,90,95,70
autumn soft,111,116,85
autumn soft,121,127,93
autumn soft,177,154,145
autumn soft,199,173,163
autumn soft,244,212,200
autumn soft,255,231,218
autumn soft,133,68,37
autumn soft,150,76,42
autumn soft,183,93,51
autumn soft,200,102,56
autumn soft,188,172,77
autumn soft,212,194,87
autumn soft,255,237,106
autumn soft,255,255,116
