season,R,G,B
autumn warm,159,22,0
autumn warm,179,25,0
autumn warm,218,30,0
autumn warm,238,33,0
autumn warm,79,87,0
autumn warm,89,98,0
autumn warm,108,119,0
autumn warm,118,130,0
autumn warm,174,82,68
autumn warm,196,92,76
autumn warm,239,113,93
autumn warm,255,123,102
autumn warm,173,127,90
autumn warm,195,143,101
autumn warm,238,174,124
autumn warm,255,190,135
autumn warm,106,53,28
autumn warm,119,60,31
autumn warm,146,73,38
autumn warm,159,80,42
autumn warm,0,52,41
autumn warm,0,58,46
autumn warm,0,71,57
autumn warm,0,78,62
autumn warm,124,28,42
autumn warm,140,31,47
autumn warm,171,38,58
autumn warm,187,42,63
autumn warm,192,76,25
autumn warm,216,86,28
autumn warm,255,105,35
autumn warm,255,115,38
autumn warm,102,144,73
autumn warm,115,162,82
autumn warm,140,198,101
autumn warm,153,216,110
autumn warm,185,154,19
autumn warm,208,173,21
autumn warm,255,212,26
autumn warm,255,231,28
