season,R,G,B,R_adjusted,G_adjusted,B_adjusted
spring light,49,201,255,39,160,204
spring light,200,241,183,160,192,146
spring light,253,171,187,202,136,149
spring light,97,203,101,77,162,80
spring light,253,107,122,202,85,97
spring light,255,176,146,204,140,116
spring light,255,241,166,204,192,132
spring light,148,214,209,118,171,167
spring light,239,239,234,191,191,187
spring clear,255,232,58,204,185,46
spring clear,193,190,184,154,152,147
spring clear,49,64,150,39,51,120
spring clear,253,167,165,202,133,132
spring clear,22,154,64,17,123,51
spring clear,255,182,67,204,145,53
spring clear,0,212,196,0,169,156
spring clear,75,210,78,60,168,62
spring clear,255,191,218,204,152,174
spring clear,255,64,74,204,51,59
spring warm,255,143,114,204,114,91
spring warm,251,95,87,200,76,69
spring warm,121,161,74,96,128,59
spring warm,82,184,172,65,147,137
spring warm,144,76,25,115,60,20
spring warm,255,182,67,204,145,53
spring warm,133,211,106,106,168,84
spring warm,225,128,74,180,102,59
spring warm,55,154,71,44,123,56
spring warm,255,114,72,204,91,57
summer light,183,244,252,146,195,201
summer light,181,162,206,144,129,164
summer light,137,227,179,109,181,143
summer light,124,169,212,99,135,169
summer light,219,206,247,175,164,197
summer light,255,220,243,204,176,194
summer light,206,218,229,164,174,183
summer light,73,118,192,58,94,153
summer light,164,104,114,131,83,91
summer light,144,183,255,115,146,204
summer soft,159,107,148,127,85,118
summer soft,76,173,129,60,138,103
summer soft,197,121,125,157,96,100
summer soft,130,143,237,104,114,189
summer soft,155,204,199,124,163,159
summer soft,145,196,236,116,156,188
summer soft,177,89,123,141,71,98
summer soft,255,246,183,204,196,146
summer soft,111,149,182,88,119,145
summer soft,228,106,154,182,84,123
summer cool,122,66,113,97,52,90
summer cool,92,227,221,73,181,176
summer cool,152,42,85,121,33,68
summer cool,24,55,121,19,44,96
summer cool,0,165,134,0,132,107
summer cool,145,196,236,116,156,188
summer cool,188,142,195,150,113,156
summer cool,184,183,193,147,146,154
summer cool,59,192,211,47,153,168
summer cool,208,49,79,166,39,63
autumn deep,245,152,0,196,121,0
autumn deep,89,61,56,71,48,44
autumn deep,22,74,116,17,59,92
autumn deep,64,25,57,51,20,45
autumn deep,27,61,0,21,48,0
autumn deep,255,210,0,204,168,0
autumn deep,101,106,78,80,84,62
autumn deep,95,46,22,76,36,17
autumn deep,44,19,6,35,15,4
autumn deep,227,36,0,181,28,0
autumn soft,149,121,168,119,96,134
autumn soft,224,134,127,179,107,101
autumn soft,108,190,190,86,152,152
autumn soft,49,100,146,39,80,116
autumn soft,57,107,33,45,85,26
autumn soft,231,113,59,184,90,47
autumn soft,101,106,78,80,84,62
autumn soft,222,193,182,177,154,145
autumn soft,167,85,47,133,68,37
autumn soft,236,216,97,188,172,77
autumn warm,199,28,0,159,22,0
autumn warm,99,109,0,79,87,0
autumn warm,218,103,85,174,82,68
autumn warm,217,159,113,173,127,90
