season,R,G,B
spring clear,204,185,46
spring clear,229,208,52
spring clear,255,255,63
spring clear,255,255,69
spring clear,154,152,147
spring clear,173,171,165
spring clear,212,209,202
spring clear,231,228,220
spring clear,39,51,120
spring clear,44,57,135
spring clear,53,70,165
spring clear,58,76,180
spring clear,202,133,132
spring clear,227,150,148
spring clear,255,183,181
spring clear,255,200,198
spring clear,17,123,51
spring clear,19,138,57
spring clear,24,169,70
spring clear,26,184,76
spring clear,204,145,53
spring clear,229,163,60
spring clear,255,200,73
spring clear,255,218,80
spring clear,0,169,156
spring clear,0,190,176
spring clear,0,233,215
spring clear,0,254,235
spring clear,60,168,62
spring clear,67,189,70
spring clear,82,231,85
spring clear,90,252,93
spring clear,204,152,174
spring clear,229,171,196
spring clear,255,210,239
spring clear,255,229,255
spring clear,204,51,59
spring clear,229,57,66
spring clear,255,70,81
spring clear,255,76,88
