season,R,G,B
spring light,39,160,204
spring light,44,180,229
spring light,53,221,255
spring light,58,241,255
spring light,160,192,146
spring light,180,216,164
spring light,220,255,201
spring light,240,255,219
spring light,202,136,149
spring light,227,153,168
spring light,255,188,205
spring light,255,205,224
spring light,77,162,80
spring light,87,182,90
spring light,106,223,111
spring light,116,243,121
spring light,202,85,97
spring light,227,96,109
spring light,255,117,134
spring light,255,128,146
spring light,204,140,116
spring light,229,158,131
spring light,255,193,160
spring light,255,211,175
spring light,204,192,132
spring light,229,216,149
spring light,255,255,182
spring light,255,255,199
spring light,118,171,167
spring light,133,192,188
spring light,162,235,229
spring light,177,255,250
spring light,191,191,187
spring light,215,215,210
spring light,255,255,255
spring light,255,255,255
