season,R,G,B
spring warm,204,114,91
spring warm,229,128,102
spring warm,255,157,125
spring warm,255,171,136
spring warm,200,76,69
spring warm,225,85,78
spring warm,255,104,95
spring warm,255,114,104
spring warm,96,128,59
spring warm,108,144,66
spring warm,133,177,81
spring warm,145,193,88
spring warm,65,147,137
spring warm,73,165,154
spring warm,90,202,189
spring warm,98,220,206
spring warm,115,60,20
spring warm,129,68,22
spring warm,158,83,27
spring warm,172,91,30
spring warm,204,145,53
spring warm,229,163,60
spring warm,255,200,73
spring warm,255,218,80
spring warm,106,168,84
spring warm,119,189,95
spring warm,146,232,116
spring warm,159,253,127
spring warm,180,102,59
spring warm,202,115,66
spring warm,247,140,81
spring warm,255,153,88
spring warm,44,123,56
spring warm,49,138,63
spring warm,60,169,78
spring warm,66,184,85
spring warm,204,91,57
spring warm,229,102,64
spring warm,255,125,79
spring warm,255,136,86
