season,R,G,B
summer cool,97,52,90
summer cool,109,59,101
summer cool,134,72,124
summer cool,146,79,135
summer cool,73,181,176
summer cool,82,204,198
summer cool,101,249,243
summer cool,110,255,255
summer cool,121,33,68
summer cool,136,37,76
summer cool,167,46,93
summer cool,182,50,102
summer cool,19,44,96
summer cool,21,49,108
summer cool,26,60,133
summer cool,28,66,145
summer cool,0,132,107
summer cool,0,148,120
summer cool,0,181,147
summer cool,0,198,160
summer cool,116,156,188
summer cool,130,176,212
summer cool,159,215,255
summer cool,174,235,255
summer cool,150,113,156
summer cool,169,127,175
summer cool,206,156,214
summer cool,225,170,234
summer cool,147,146,154
summer cool,165,164,173
summer cool,202,201,212
summer cool,220,219,231
summer cool,47,153,168
summer cool,53,172,189
summer cool,64,211,232
summer cool,70,230,253
summer cool,166,39,63
summer cool,187,44,71
summer cool,228,53,86
summer cool,249,58,94
