season,R,G,B
summer light,146,195,201
summer light,164,219,226
summer light,201,255,255
summer light,219,255,255
summer light,144,129,164
summer light,162,145,185
summer light,199,178,226
summer light,217,194,247
summer light,109,181,143
summer light,123,204,161
summer light,150,249,196
summer light,164,255,214
summer light,99,135,169
summer light,111,152,190
summer light,136,185,233
summer light,148,202,254
summer light,175,164,197
summer light,197,185,222
summer light,240,226,255
summer light,255,247,255
summer light,204,176,194
summer light,229,198,218
summer light,255,242,255
summer light,255,255,255
summer light,164,174,183
summer light,185,196,206
summer light,226,239,251
summer light,247,255,255
summer light,58,94,153
summer light,65,106,172
summer light,80,129,211
summer light,87,141,230
summer light,131,83,91
summer light,147,93,102
summer light,180,114,125
summer light,196,124,136
summer light,115,146,204
summer light,129,164,229
summer light,158,201,255
summer light,172,219,255
