season,R,G,B
summer soft,127,85,118
summer soft,143,96,133
summer soft,174,117,162
summer soft,190,128,177
summer soft,60,138,103
summer soft,68,155,116
summer soft,83,190,141
summer soft,91,207,154
summer soft,157,96,100
summer soft,177,108,112
summer soft,216,133,137
summer soft,236,145,150
summer soft,104,114,189
summer soft,117,128,213
summer soft,143,157,255
summer soft,156,171,255
summer soft,124,163,159
summer soft,139,183,179
summer soft,170,224,218
summer soft,186,244,238
summer soft,116,156,188
summer soft,130,176,212
summer soft,159,215,255
summer soft,174,235,255
summer soft,141,71,98
summer soft,159,80,110
summer soft,194,97,135
summer soft,212,106,147
summer soft,204,196,146
summer soft,229,221,164
summer soft,255,255,201
summer soft,255,255,219
summer soft,88,119,145
summer soft,99,134,163
summer soft,122,163,200
summer soft,133,178,218
summer soft,182,84,123
summer soft,205,95,138
summer soft,250,116,169
summer soft,255,127,184
