season,R,G,B
winter clear,187,178,204
winter clear,210,200,229
winter clear,255,245,255
winter clear,255,255,255
winter clear,0,106,156
winter clear,0,119,176
winter clear,0,146,215
winter clear,0,159,235
winter clear,28,147,83
winter clear,31,165,93
winter clear,38,202,114
winter clear,42,220,124
winter clear,0,19,107
winter clear,0,21,120
winter clear,1,26,147
winter clear,1,28,160
winter clear,200,200,44
winter clear,225,225,50
winter clear,255,255,61
winter clear,255,255,67
winter clear,204,38,120
winter clear,229,43,135
winter clear,255,52,166
winter clear,255,57,181
winter clear,85,190,176
winter clear,96,214,198
winter clear,117,255,242
winter clear,128,255,255
winter clear,155,24,72
winter clear,174,27,81
winter clear,213,34,99
winter clear,232,37,108
winter clear,78,32,107
winter clear,88,36,120
winter clear,107,44,147
winter clear,117,48,160
winter clear,26,26,26
winter clear,29,29,29
winter clear,36,36,36
winter clear,39,39,39
