season,R,G,B
winter cool,20,69,152
winter cool,22,78,171
winter cool,27,95,209
winter cool,30,104,228
winter cool,40,118,164
winter cool,45,133,184
winter cool,56,162,225
winter cool,61,177,246
winter cool,135,124,152
winter cool,152,140,171
winter cool,185,171,209
winter cool,202,187,228
winter cool,0,68,76
winter cool,0,77,85
winter cool,0,94,104
winter cool,0,103,114
winter cool,107,33,72
winter cool,120,37,81
winter cool,147,46,100
winter cool,160,50,109
winter cool,204,186,193
winter cool,229,209,217
winter cool,255,255,255
winter cool,255,255,255
winter cool,133,133,133
winter cool,150,150,150
winter cool,183,183,183
winter cool,200,200,200
winter cool,29,33,76
winter cool,33,37,85
winter cool,40,46,104
winter cool,44,50,114
winter cool,88,56,107
winter cool,99,63,120
winter cool,122,78,147
winter cool,133,85,160
winter cool,204,204,204
winter cool,229,229,229
winter cool,255,255,255
winter cool,255,255,255
