season,R,G,B
winter deep,73,37,96
winter deep,82,42,108
winter deep,101,51,132
winter deep,110,56,144
winter deep,164,41,108
winter deep,184,46,121
winter deep,225,57,148
winter deep,246,62,162
winter deep,0,57,64
winter deep,0,64,72
winter deep,0,79,88
winter deep,0,86,96
winter deep,121,33,68
winter deep,136,37,76
winter deep,167,46,93
winter deep,182,50,102
winter deep,42,52,77
winter deep,47,59,87
winter deep,58,72,106
winter deep,63,79,116
winter deep,204,193,80
winter deep,229,217,90
winter deep,255,255,111
winter deep,255,255,121
winter deep,76,78,85
winter deep,85,88,96
winter deep,104,107,117
winter deep,114,117,128
winter deep,22,32,104
winter deep,25,36,117
winter deep,30,44,143
winter deep,33,48,156
winter deep,158,24,69
winter deep,178,27,78
winter deep,217,34,95
winter deep,237,37,104
winter deep,0,0,0
winter deep,0,0,0
winter deep,0,0,0
winter deep,0,0,0
