light;medium;dark 
#ab4d50;#ff0800;#65000b
#b35457;#ff1100;#5e1e32
#b35457;#ff2222;#6d150c
#b5493a;#ff2800;#701c11
#b63e36;#e50000;#730113
#b9484e;#ce2029;#750135
#b95754;#e23d28;#770001
#bb3f3f;#cd0101;#770f05
#bf4147;#c0022f;#783b38
#c44240;#e2062c;#7b0323
#c93543;#ed0a3f;#7c2946
#cc4e5c;#db0b1b;#7d4138
#cd4035;#e2062c;#7e392f
#ce261c;#f10010;#7f2b0a
#d63d3b;#f10502;#7f4e47
#d84139;#ff0800;#800000
#e03c28;#ff2400;#80444c
#e03c31;#ff1b2d;#820000
#e46b71;#ff1111;#840000
#e74a33;#ff073a;#853534
#e94f58;#ff006c;#86423e
#eb6651;#ff000d;#8a2c20
#ec2938;#ff0000;#900020
#ed0a3f;#fe2713;#901e4b
#ee3344;#fe0002;#910951
#f07f5e;#fd0d35;#922724
#f2666c;#f70d1a;#922b05
#f35336;#f50c00;#93015d
#f46860;#f7022a;#941100
#f8674f;#e60000;#980001
#fe2f4a;#e30022;#980036
#ff6961;#d71605;#990147
#ff5555;#d01c1f;#9a0200
#ff4040;#c80815;#9e1212
#ffc1cc;#c51e3a;#9e1316
#ffc0cb;#c40234;#9e3623
#ffcccb;#a91101;#9f1d35
#f4c2c2;#B22222;#a3000e
#fdbcb4;#f50029;#ac0e2e
#feb8b7;#ff1000;#560319
