Product Title,Variant Name,Color HEX,Product URL
Instant Age Rewind®,110,#fbe0bf,https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
Instant Age Rewind®,112,#fed4b2,https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
Instant Age Rewind®,118,#f8d4af,https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
Instant Age Rewind®,120,#f5c19b,https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
Instant Age Rewind®,130,#f6c89a,https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
Instant Age Rewind®,150,#f3c49e,https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
Instant Age Rewind®,190,#e0aa86,https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
Instant Age Rewind®,200,#f3c190,https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
Instant Age Rewind®,210,#edb377,https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
Instant Age Rewind®,225,#e1af77,https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
Instant Age Rewind®,300,#e29d74,https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
Instant Age Rewind®,310,#e7a264,https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
Instant Age Rewind®,330,#ca854a,https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
Instant Age Rewind®,340,#bd7b44,https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
Instant Age Rewind®,355,#a36636,https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
Instant Age Rewind®,360,#89512a,https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
Super Stay 24®,Everlasting Wine,#912030,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,All Day Cherry,#b22b40,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,Continuous Coral,#de5168,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,Keep Up The Flame,#bd1f3e,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,Keep It Red,#ba1c58,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,Wear On Wildberry,#be5c76,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,Unlimited Raisin,#8c324f,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,Perpetual Plum,#d06b85,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,On And On Orchid,#a9416e,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,Infinite Petal,#cf7895,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,Timeless Rose,#be5a80,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,Very Cranberry,#ca507b,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,Blush On,#f26896,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,So Pearly Pink,#f7a1ac,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,Forever Chestnut,#ae5c61,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,Always Heather,#a85051,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,Constant Toast,#d49690,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,More and More Mocha,#b16b5e,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,Constant Cocoa,#874452,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,Timeless Toffee,#e09392,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,Eternal Cherry,#b12837,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,Steady Red-Y,#de4048,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,Pink Goes On,#da507b,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,24/7 Fuschia,#a4274e,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,All Day Plum,#642d5f,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,All Night Apricot,#d97f7e,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,Firmly Mauve,#884a5f,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,Stay Scarlet,#993c5b,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,Relentless Ruby,#781a3e,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,Merlot Armour,#531c2f,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Super Stay 24®,Endless Espresso,#6f352a,https://www.maybelline.com/lip-makeup/lipstick/superstay-24-liquid-lipstick?variant=Everlasting+Wine
Baby Lips® Lip Makeup,Pink Quartz,#ff4ca5,https://www.maybelline.com/lip-makeup/lip-balm/baby-lips-lip-makeup-crystal-moisturizing-lip-balm?variant=Pink+Quartz
Sunkisser,Electric Bronze,#B16539,https://www.maybelline.com/face-makeup/blush-and-bronzer/sunkisser-multi-use-liquid-blush-and-bronzer?variant=Sol+Search
Sunkisser,Shades On,#D77D66,https://www.maybelline.com/face-makeup/blush-and-bronzer/sunkisser-multi-use-liquid-blush-and-bronzer?variant=Sol+Search
Sunkisser,Downtown Rush,#E28562,https://www.maybelline.com/face-makeup/blush-and-bronzer/sunkisser-multi-use-liquid-blush-and-bronzer?variant=Sol+Search
Sunkisser,Summer in the City,#C86C43,https://www.maybelline.com/face-makeup/blush-and-bronzer/sunkisser-multi-use-liquid-blush-and-bronzer?variant=Sol+Search
Sunkisser,City Sizzle,#CC504E,https://www.maybelline.com/face-makeup/blush-and-bronzer/sunkisser-multi-use-liquid-blush-and-bronzer?variant=Sol+Search
Sunkisser,Blazing Blush,#FF94A8,https://www.maybelline.com/face-makeup/blush-and-bronzer/sunkisser-multi-use-liquid-blush-and-bronzer?variant=Sol+Search
Sunkisser,Sun Tempt,#E8895F,https://www.maybelline.com/face-makeup/blush-and-bronzer/sunkisser-multi-use-liquid-blush-and-bronzer?variant=Sol+Search
Sunkisser,Uptown Glow,#FF9175,https://www.maybelline.com/face-makeup/blush-and-bronzer/sunkisser-multi-use-liquid-blush-and-bronzer?variant=Sol+Search
Sunkisser,Sol Search,#E8856D,https://www.maybelline.com/face-makeup/blush-and-bronzer/sunkisser-multi-use-liquid-blush-and-bronzer?variant=Sol+Search
Sunkisser,Rooftop Views,#F3872F,https://www.maybelline.com/face-makeup/blush-and-bronzer/sunkisser-multi-use-liquid-blush-and-bronzer?variant=Sol+Search
Super Stay® Up to 24HR Skin Tint ,102,#fbe1d0,https://www.maybelline.com/face-makeup/foundation-makeup/super-stay-24hr-skin-tint-with-vitamin-c?variant=129
Super Stay® Up to 24HR Skin Tint ,110,#fae0c9,https://www.maybelline.com/face-makeup/foundation-makeup/super-stay-24hr-skin-tint-with-vitamin-c?variant=129
Super Stay® Up to 24HR Skin Tint ,112,#f7cfb9,https://www.maybelline.com/face-makeup/foundation-makeup/super-stay-24hr-skin-tint-with-vitamin-c?variant=129
Super Stay® Up to 24HR Skin Tint ,118,#f5d4b8,https://www.maybelline.com/face-makeup/foundation-makeup/super-stay-24hr-skin-tint-with-vitamin-c?variant=129
Super Stay® Up to 24HR Skin Tint ,120,#f0c8ac,https://www.maybelline.com/face-makeup/foundation-makeup/super-stay-24hr-skin-tint-with-vitamin-c?variant=129
