Product Title,Brand,Type,Variant Name,Color HEX,Color RGB,Season 1 Name,Season 1 Percent,S1 Closest Color,Season 2 Name,Season 2 Percent,S2 Closest Color,Product URL
Instant Age Rewind®,maybelline,foundation & cussion,110,#fbe0bf,"(251, 224, 191)",'summer soft',56.21925407204711,"(255.0, 246.0, '183')",'spring light',43.78074592795288,"(255.0, 241.0, '166')",https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
Instant Age Rewind®,maybelline,foundation & cussion,112,#fed4b2,"(254, 212, 178)",'spring light',52.26478474626196,"(255.0, 241.0, '166')",'summer soft',47.73521525373805,"(255.0, 246.0, '183')",https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
Instant Age Rewind®,maybelline,foundation & cussion,118,#f8d4af,"(248, 212, 175)",'spring light',51.39876033546303,"(255.0, 241.0, '166')",'autumn soft',48.601239664536955,"(222.0, 193.0, '182')",https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
Instant Age Rewind®,maybelline,foundation & cussion,120,#f5c19b,"(245, 193, 155)",'spring light',57.20780462264856,"(255.0, 176.0, '146')",'spring clear',42.79219537735145,"(253.0, 167.0, '165')",https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
Instant Age Rewind®,maybelline,foundation & cussion,130,#f6c89a,"(246, 200, 154)",'spring light',56.92316387130323,"(255.0, 176.0, '146')",'spring clear',43.07683612869677,"(253.0, 167.0, '165')",https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
Instant Age Rewind®,maybelline,foundation & cussion,150,#f3c49e,"(243, 196, 158)",'spring light',54.536441895903586,"(255.0, 176.0, '146')",'spring clear',45.4635581040964,"(253.0, 167.0, '165')",https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
Instant Age Rewind®,maybelline,foundation & cussion,190,#e0aa86,"(224, 170, 134)",'autumn warm',57.74420991567082,"(217.0, 159.0, '113')",'spring light',42.25579008432919,"(255.0, 176.0, '146')",https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
Instant Age Rewind®,maybelline,foundation & cussion,200,#f3c190,"(243, 193, 144)",'spring light',62.52999110064135,"(255.0, 176.0, '146')",'spring clear',37.47000889935867,"(253.0, 167.0, '165')",https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
Instant Age Rewind®,maybelline,foundation & cussion,210,#edb377,"(237, 179, 119)",'autumn warm',52.987444734910305,"(217.0, 159.0, '113')",'spring light',47.012555265089695,"(255.0, 176.0, '146')",https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
Instant Age Rewind®,maybelline,foundation & cussion,225,#e1af77,"(225, 175, 119)",'autumn warm',68.15061872751265,"(217.0, 159.0, '113')",'spring light',31.849381272487342,"(255.0, 176.0, '146')",https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
Instant Age Rewind®,maybelline,foundation & cussion,300,#e29d74,"(226, 157, 116)",'autumn warm',72.51008179273842,"(217.0, 159.0, '113')",'autumn soft',27.4899182072616,"(224.0, 134.0, '127')",https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
Instant Age Rewind®,maybelline,foundation & cussion,310,#e7a264,"(231, 162, 100)",'autumn warm',63.51058188108121,"(217.0, 159.0, '113')",'spring warm',36.489418118918785,"(255.0, 143.0, '114')",https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
Instant Age Rewind®,maybelline,foundation & cussion,330,#ca854a,"(202, 133, 74)",'spring warm',60.2897337089943,"(225.0, 128.0, '74')",'autumn warm',39.7102662910057,"(218.0, 103.0, '85')",https://www.maybelline.com/face-makeup/foundation-makeup/instant-age-rewind-eraser-treatment-makeup?variant=225
