Product Title,Brand,Type,Variant Name,Color HEX,Color RGB,Season 1 Name,Season 1 Percent,S1 Closest Color,Season 2 Name,Season 2 Percent,S2 Closest Color,Tone,Cluster,Image URL,Product URL
Matte Lip Cream,wardah,lip,Red-dicted	,#a92431,"(169, 36, 49)",autumn warm,74.6971693318356,"[156.0, 35.0, 53.0]",summer cool ,25.3028306681644,"[152.0, 42.0, 85.0]",dark_deep,Cluster 8,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1684849496.webp,https://www.wardahbeauty.com/id/product/make-up/matte-lip-cream?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
Matte Lip Cream,wardah,lip,Fuschionately,#d04483,"(208, 68, 131)",winter deep,69.55019446307885,"[205.0, 52.0, 135.0]",summer soft,30.44980553692115,"[177.0, 89.0, 123.0]",dark_deep,Cluster 3,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1684849496.webp,https://www.wardahbeauty.com/id/product/make-up/matte-lip-cream?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
Matte Lip Cream,wardah,lip,See You Latte,#c5807d,"(197, 128, 125)",summer soft,79.8450076758238,"[197.0, 121.0, 125.0]",autumn soft,20.1549923241762,"[224.0, 134.0, 127.0]",medium_tan,Cluster 4,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1684849496.webp,https://www.wardahbeauty.com/id/product/make-up/matte-lip-cream?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
Matte Lip Cream,wardah,lip,Pink Me,#d86d8c,"(216, 109, 140)",summer soft,59.12140115268296,"[228.0, 106.0, 154.0]",summer soft,40.87859884731705,"[197.0, 121.0, 125.0]",medium_tan,Cluster 3,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1684849496.webp,https://www.wardahbeauty.com/id/product/make-up/matte-lip-cream?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
Matte Lip Cream,wardah,lip,Speachless,#d87a71,"(216, 122, 113)",autumn soft,52.81105502302121,"[224.0, 134.0, 127.0]",summer soft,47.1889449769788,"[197.0, 121.0, 125.0]",medium_tan,Cluster 4,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1684849496.webp,https://www.wardahbeauty.com/id/product/make-up/matte-lip-cream?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
Matte Lip Cream,wardah,lip,Feeling Red,#d22e30,"(210, 46, 48)",summer cool ,58.21146727088914,"[208.0, 49.0, 79.0]",winter deep,41.78853272911086,"[198.0, 31.0, 87.0]",dark_deep,Cluster 7,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1684849496.webp,https://www.wardahbeauty.com/id/product/make-up/matte-lip-cream?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
Matte Lip Cream,wardah,lip,Hello Ruby,#9b3634,"(155, 54, 52)",autumn warm,61.69922455266173,"[156.0, 35.0, 53.0]",autumn warm,38.30077544733827,"[133.0, 67.0, 35.0]",dark_deep,Cluster 8,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1684849496.webp,https://www.wardahbeauty.com/id/product/make-up/matte-lip-cream?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
Matte Lip Cream,wardah,lip,Pinkcredible,#cf516c,"(207, 81, 108)",autumn warm,50.59198999082311,"[218.0, 103.0, 85.0]",summer soft,49.40801000917689,"[177.0, 89.0, 123.0]",dark_deep,Cluster 3,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1684849496.webp,https://www.wardahbeauty.com/id/product/make-up/matte-lip-cream?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
Matte Lip Cream,wardah,lip,Mauve On,#ba686f,"(186, 104, 111)",summer soft,51.14057199249431,"[177.0, 89.0, 123.0]",summer light,48.8594280075057,"[164.0, 104.0, 114.0]",dark_deep,Cluster 4,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1684849496.webp,https://www.wardahbeauty.com/id/product/make-up/matte-lip-cream?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
Matte Lip Cream,wardah,lip,Berry Pretty,#de929f,"(222, 146, 159)",autumn soft,52.55454342567908,"[224.0, 134.0, 127.0]",spring clear,47.44545657432092,"[253.0, 167.0, 165.0]",medium_tan,Cluster 2,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1684849496.webp,https://www.wardahbeauty.com/id/product/make-up/matte-lip-cream?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
