Product Name,Variant Name,Color HEX,Product URL
Hanasui Mattedorable Lip Cream 01 Kiss,01 Kiss,#9c3c44,https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream 02 Posh,02 Posh,#c63464,https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream 03 Star,03 Star,#e64468,https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream 04 Chic,04 Chic,#e06874,https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream 05 Classy,05 Classy,#c48474,https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream 06 Ritz,06 Ritz,#e48577,https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream 07 Spark,07 Spark,#d7948c,https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream 08 Fancy,08 Fancy,#e47959,https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream 09 Fame,09 Fame,#bc7c74,https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream 10 Allure,10 Allure,#bc6c64,https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream 11 Brick,11 Brick,#cc6259,https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream 12 Amaze,12 Amaze,#c4766e,https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream 13 Adore,13 Adore,#df9a95,https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream 14 Dusty,14 Dusty,#e47484,https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream 15 Flame,15 Flame,#904853,https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream 16 Glam,16 Glam,#ac4b55,https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream Boba 01 Forest Berry,Forest Berry,#945c4c,https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream Boba 02 Brown Sugar,Brown Sugar,#945c4c,https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream Boba 03 Salted Caramel,Salted Caramel,#ac6464,https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream Boba 04 Pink Lava,Pink Lava,#d46c7c,https://hanasui.id/makeup/lip_cream
