Product Title,Brand,Type,Variant Name,Color HEX,Color RGB,Season 1 Name,Season 1 Percent,S1 Closest Color,Season 2 Name,Season 2 Percent,S2 Closest Color,Product URL
Watercolor Lip Serum,emina,lip,04 Haze,#efb492,"(239, 180, 146)",'spring light',62.0312296722618,"(255.0, 176.0, '146')",'spring clear',37.96877032773821,"(253.0, 167.0, '165')",https://www.eminacosmetics.com/watercolor-lip-serum
Watercolor Lip Serum,emina,lip,03 Dusk,#e8b28a,"(232, 178, 138)",'spring light',58.75005512923388,"(255.0, 176.0, '146')",'autumn warm',41.24994487076613,"(217.0, 159.0, '113')",https://www.eminacosmetics.com/watercolor-lip-serum
Daily Matte Compact Powder,emina,lip,01 Light,#e8c5a0,"(232, 197, 160)",'autumn soft',58.22951472560789,"(222.0, 193.0, '182')",'spring light',41.77048527439211,"(255.0, 176.0, '146')",https://www.eminacosmetics.com/daily-matte-compact-powder
Daily Matte Cushion,emina,lip,C01 - Light,#fbd899,"(251, 216, 153)",'spring light',58.910653678274315,"(255.0, 241.0, '166')",'spring light',41.089346321725685,"(255.0, 176.0, '146')",https://www.eminacosmetics.com/daily-matte-cushion
Daily Matte BB Cream,emina,lip,01 Light,#eadfcd,"(234, 223, 205)",'spring light',52.629912339185495,"(239.0, 239.0, '234')",'summer light',47.3700876608145,"(206.0, 218.0, '229')",https://www.eminacosmetics.com/daily-matte-bb-cream-
Bare with Me Mineral Mild Foundation,emina,foundation & cussion,Natural,#f0bf9b,"(240, 191, 155)",'spring light',55.78121100146844,"(255.0, 176.0, '146')",'spring clear',44.218788998531544,"(253.0, 167.0, '165')",https://www.eminacosmetics.com/bare-with-me-mineral-mild-foundation-
Bare with Me Mineral Mild Foundation,emina,foundation & cussion,Light,#ecc3b2,"(236, 195, 178)",'autumn soft',67.66638399395934,"(222.0, 193.0, '182')",'spring light',32.33361600604064,"(253.0, 171.0, '187')",https://www.eminacosmetics.com/bare-with-me-mineral-mild-foundation-
City Chic CC Cake,emina,face,Latte,#ecd2b6,"(236, 210, 182)",'autumn soft',64.33381405943288,"(222.0, 193.0, '182')",'spring light',35.66618594056712,"(255.0, 241.0, '166')",https://www.eminacosmetics.com/city-chic-cc-cake
Cheek Lit Blush Stick,emina,cheek,Pink,#f39da5,"(243, 157, 165)",'spring clear',66.38476669609827,"(253.0, 167.0, '165')",'spring light',33.61523330390172,"(253.0, 171.0, '187')",https://www.eminacosmetics.com/cheek-lit-blush-stick
Cheek Lit Blush Stick,emina,cheek,Peach,#e8876e,"(232, 135, 110)",'autumn soft',56.74023731851534,"(224.0, 134.0, '127')",'spring warm',43.25976268148467,"(255.0, 143.0, '114')",https://www.eminacosmetics.com/cheek-lit-blush-stick
Cheeklit Pressed,emina,cheek,Apple Crumble,#e59682,"(229, 150, 130)",'autumn soft',57.1058514937963,"(224.0, 134.0, '127')",'autumn warm',42.8941485062037,"(217.0, 159.0, '113')",https://www.eminacosmetics.com/cheeklit-pressed
Cheeklit Pressed,emina,cheek,Marshmallow Lady,#c88078,"(200, 128, 120)",'summer soft',73.83589603917089,"(197.0, 121.0, '125')",'autumn soft',26.16410396082912,"(224.0, 134.0, '127')",https://www.eminacosmetics.com/cheeklit-pressed
Cheeklit Pressed,emina,cheek,Cotton Candy,#d37283,"(211, 114, 131)",'summer soft',59.06440761630603,"(197.0, 121.0, '125')",'autumn soft',40.93559238369397,"(224.0, 134.0, '127')",https://www.eminacosmetics.com/cheeklit-pressed
Cheeklit Pressed,emina,cheek,Bittersweet,#e78e8e,"(231, 142, 142)",'autumn soft',66.45056216008562,"(224.0, 134.0, '127')",'autumn warm',33.54943783991439,"(217.0, 159.0, '113')",https://www.eminacosmetics.com/cheeklit-pressed
Cheeklit Pressed,emina,cheek,Violet Berry,#d68ea9,"(214, 142, 169)",'summer cool ',52.98387022074094,"(188.0, 142.0, '195')",'summer soft',47.016129779259074,"(228.0, 106.0, '154')",https://www.eminacosmetics.com/cheeklit-pressed
Emina Cosmetics Official Store,emina,face,Caramel,#f1b791,"(241, 183, 145)",'spring light',64.32825627141214,"(255.0, 176.0, '146')",'spring clear',35.67174372858785,"(253.0, 167.0, '165')",https://www.eminacosmetics.com/squeeze-me-up-liquid-concealer
Squeeze Me Up Lip Glass,emina,lip,01. Surf n’ Slide,#bf495f,"(191, 73, 95)",'summer cool ',51.22049769062569,"(208.0, 49.0, '79')",'summer soft',48.77950230937431,"(177.0, 89.0, '123')",https://www.eminacosmetics.com/squeeze-me-up-lip-glass-
Squeeze Me Up Lip Glass,emina,lip,02. Stargaze,#b03f45,"(176, 63, 69)",'autumn soft',52.417351264074064,"(167.0, 85.0, '47')",'summer cool ',47.58264873592593,"(152.0, 42.0, '85')",https://www.eminacosmetics.com/squeeze-me-up-lip-glass-
Liquid Lip Shine,emina,lip,Buttery Nude,#f3d9d6,"(243, 217, 214)",'spring clear',50.921972362409974,"(255.0, 191.0, '218')",'spring light',49.078027637590026,"(239.0, 239.0, '234')",https://www.eminacosmetics.com/liquid-lip-shine
Sugar Rush,emina,face,Raspberry Sorbet,#ef6677,"(239, 102, 119)",'spring light',69.69957311330701,"(253.0, 107.0, '122')",'spring warm',30.300426886693,"(251.0, 95.0, '87')",https://www.eminacosmetics.com/sugar-rush
Lip Cushion,emina,lip,Get Berry,#d15f63,"(209, 95, 99)",'autumn warm',67.68501683524599,"(218.0, 103.0, '85')",'summer soft',32.31498316475401,"(197.0, 121.0, '125')",https://www.eminacosmetics.com/lip-cushion
Creamatte,emina,lip,Emina Creamatte BR24 Brick Chic 4 g,#8a6666,"(138, 102, 102)",'summer light',58.76118480986141,"(164.0, 104.0, '114')",'summer cool ',41.2388151901386,"(122.0, 66.0, '113')",https://www.eminacosmetics.com/creamatte
Creamatte,emina,lip,Bola Ubi,#cd545b,"(205, 84, 91)",'autumn warm',60.9425311651198,"(218.0, 103.0, '85')",'summer cool ',39.0574688348802,"(208.0, 49.0, '79')",https://www.eminacosmetics.com/creamatte
Creamatte,emina,lip,Emina Creamatte RD21 Amazeballs 4 g,#c68181,"(198, 129, 129)",'summer soft',74.68485178648532,"(197.0, 121.0, '125')",'autumn soft',25.31514821351467,"(224.0, 134.0, '127')",https://www.eminacosmetics.com/creamatte
Creamatte,emina,lip,Emina Creamatte PK11 Baby Fox 4 g,#e48c8c,"(228, 140, 140)",'autumn soft',70.06761125066026,"(224.0, 134.0, '127')",'autumn warm',29.932388749339733,"(217.0, 159.0, '113')",https://www.eminacosmetics.com/creamatte
Creamatte,emina,lip,Emina Creamatte PK12 Pumpkin Spice 4 g,#be8585,"(190, 133, 133)",'summer soft',68.29961207397398,"(197.0, 121.0, '125')",'autumn soft',31.700387926026032,"(224.0, 134.0, '127')",https://www.eminacosmetics.com/creamatte
Creamatte,emina,lip,Emina Creamatte PK22 Mauvelous 4 g,#d4787a,"(212, 120, 122)",'summer soft',55.481774682961984,"(197.0, 121.0, '125')",'autumn soft',44.518225317038016,"(224.0, 134.0, '127')",https://www.eminacosmetics.com/creamatte
Creamatte,emina,lip,Emina Creamatte 02 Fuzzy Wuzzy 5.5 gr,#c97f7f,"(201, 127, 127)",'summer soft',76.26224345739614,"(197.0, 121.0, '125')",'autumn soft',23.73775654260386,"(224.0, 134.0, '127')",https://www.eminacosmetics.com/creamatte
Glossy Stain,emina,face,Coffee Drop,#bd6630,"(189, 102, 48)",'autumn soft',61.68414258869256,"(167.0, 85.0, '47')",'autumn soft',38.31585741130744,"(231.0, 113.0, '59')",https://www.eminacosmetics.com/-glossy-stain
Glossy Stain,emina,face,Apple Shower,#ed3b44,"(237, 59, 68)",'spring clear',62.41810440667827,"(255.0, 64.0, '74')",'summer cool ',37.58189559332173,"(208.0, 49.0, '79')",https://www.eminacosmetics.com/-glossy-stain
Glossy Stain,emina,face,Autumn Bell,#9f2744,"(159, 39, 68)",'autumn warm',54.0891448448837,"(156.0, 35.0, '53')",'summer cool ',45.9108551551163,"(152.0, 42.0, '85')",https://www.eminacosmetics.com/-glossy-stain
Glossy Stain,emina,face,Spring Dazzle,#f73b2f,"(247, 59, 47)",'spring clear',58.53406094495208,"(255.0, 64.0, '74')",'autumn warm',41.465939055047905,"(241.0, 96.0, '32')",https://www.eminacosmetics.com/-glossy-stain
Magic Potion,emina,face,Summer,#b51017,"(181, 16, 23)",'autumn warm',57.90150405212644,"(199.0, 28.0, '0')",'autumn warm',42.09849594787357,"(156.0, 35.0, '53')",https://www.eminacosmetics.com/magic-potion-
Magic Potion,emina,face,Sienna,#6e1c1f,"(110, 28, 31)",'autumn deep',64.424227678651,"(95.0, 46.0, '22')",'autumn warm',35.57577232134901,"(133.0, 67.0, '35')",https://www.eminacosmetics.com/magic-potion-
Magic Potion,emina,face,Smitten,#a31926,"(163, 25, 38)",'autumn warm',72.574612270304,"(156.0, 35.0, '53')",'summer cool ',27.425387729696006,"(152.0, 42.0, '85')",https://www.eminacosmetics.com/magic-potion-
Magic Potion,emina,face,Sunglow,#cf2c2f,"(207, 44, 47)",'summer cool ',57.03300169042058,"(208.0, 49.0, '79')",'winter deep',42.96699830957942,"(198.0, 31.0, '87')",https://www.eminacosmetics.com/magic-potion-
Magic Potion,emina,face,Sassy,#8a1720,"(138, 23, 32)",'autumn warm',59.54933062905992,"(156.0, 35.0, '53')",'autumn warm',40.450669370940076,"(133.0, 67.0, '35')",https://www.eminacosmetics.com/magic-potion-
