Product Title,Brand,Type,Variant Name,Color HEX,Color RGB,Season 1 Name,Season 1 Percent,S1 Closest Color,Season 2 Name,Season 2 Percent,S2 Closest Color,Product URL
Hanasui Mattedorable Lip Cream 01 Kiss,hanasui,lip,01 Kiss,#9c3c44,"(156, 60, 68)",'summer cool ',50.0,"(152.0, 42.0, '85')",'winter deep',50.0,"(152.0, 42.0, '85')",https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream 02 Posh,hanasui,lip,02 Posh,#c63464,"(198, 52, 100)",'summer cool ',50.15808649448399,"(208.0, 49.0, '79')",'winter clear',49.84191350551601,"(194.0, 31.0, '90')",https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream 03 Star,hanasui,lip,03 Star,#e64468,"(230, 68, 104)",'spring warm',50.09388903027193,"(251.0, 95.0, '87')",'summer cool ',49.906110969728054,"(208.0, 49.0, '79')",https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream 04 Chic,hanasui,lip,04 Chic,#e06874,"(224, 104, 116)",'spring light',51.48751498137909,"(253.0, 107.0, '122')",'autumn warm',48.51248501862091,"(218.0, 103.0, '85')",https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream 05 Classy,hanasui,lip,05 Classy,#c48474,"(196, 132, 116)",'summer soft',67.90849006914594,"(197.0, 121.0, '125')",'autumn soft',32.091509930854045,"(224.0, 134.0, '127')",https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream 06 Ritz,hanasui,lip,06 Ritz,#e48577,"(228, 133, 119)",'autumn soft',76.22930127474567,"(224.0, 134.0, '127')",'autumn warm',23.770698725254334,"(217.0, 159.0, '113')",https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream 07 Spark,hanasui,lip,07 Spark,#d7948c,"(215, 148, 140)",'autumn soft',58.049509201063266,"(224.0, 134.0, '127')",'autumn warm',41.950490798936734,"(217.0, 159.0, '113')",https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream 08 Fancy,hanasui,lip,08 Fancy,#e47959,"(228, 121, 89)",'spring warm',55.49432155445317,"(225.0, 128.0, '74')",'autumn warm',44.505678445546806,"(218.0, 103.0, '85')",https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream 09 Fame,hanasui,lip,09 Fame,#bc7c74,"(188, 124, 116)",'summer soft',70.53580191817348,"(197.0, 121.0, '125')",'summer light',29.46419808182651,"(164.0, 104.0, '114')",https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream 10 Allure,hanasui,lip,10 Allure,#bc6c64,"(188, 108, 100)",'summer light',51.30877342902165,"(164.0, 104.0, '114')",'summer soft',48.691226570978344,"(197.0, 121.0, '125')",https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream 11 Brick,hanasui,lip,11 Brick,#cc6259,"(204, 98, 89)",'autumn warm',71.99290835005748,"(218.0, 103.0, '85')",'spring warm',28.007091649942527,"(225.0, 128.0, '74')",https://hanasui.id/makeup/lip_cream
