Product Title,Brand,Type,Variant Name,Color HEX,Color RGB,Season 1 Name,Season 1 Percent,S1 Closest Color,Season 2 Name,Season 2 Percent,S2 Closest Color,Product URL
PIXY Make It Glow Dewy Cushion,pixy,face,Light Beige,#EFCBA3,"(239, 203, 163)",'autumn soft',56.584579567972156,"(222.0, 193.0, '182')",'spring light',43.415420432027844,"(255.0, 176.0, '146')",https://www.pixy.co.id/product/pixy-make-it-glow-dewy-cushion
PIXY Make It Glow Dewy Cushion,pixy,face,Natural Beige,#D1AE7D,"(209, 174, 125)",'autumn warm',67.2693653800034,"(217.0, 159.0, '113')",'autumn soft',32.73063461999659,"(224.0, 134.0, '127')",https://www.pixy.co.id/product/pixy-make-it-glow-dewy-cushion
PIXY Make It Glow Dewy Cushion,pixy,face,Medium Beige,#C99D64,"(201, 157, 100)",'autumn warm',67.11560382974967,"(217.0, 159.0, '113')",'autumn soft',32.88439617025034,"(224.0, 134.0, '127')",https://www.pixy.co.id/product/pixy-make-it-glow-dewy-cushion
PIXY Make It Glow Dewy Cushion,pixy,face,Pinkish Beige,#EBBEAF,"(235, 190, 175)",'autumn soft',65.64773331258196,"(222.0, 193.0, '182')",'spring light',34.352266687418044,"(253.0, 171.0, '187')",https://www.pixy.co.id/product/pixy-make-it-glow-dewy-cushion
PIXY Make It Glow Dewy Cushion,pixy,face,Sandy Beige,#C68B66,"(198, 139, 102)",'summer soft',50.40325203422631,"(197.0, 121.0, '125')",'autumn warm',49.59674796577369,"(217.0, 159.0, '113')",https://www.pixy.co.id/product/pixy-make-it-glow-dewy-cushion
PIXY Lip Cream,pixy,lip,Chic Rose,#B76B79,"(183, 107, 121)",'summer soft',51.42602949021639,"(177.0, 89.0, '123')",'summer soft',48.57397050978359,"(197.0, 121.0, '125')",https://www.pixy.co.id/product/pixy-lip-cream
PIXY Lip Cream,pixy,lip,Party Red,#B2292E,"(178, 41, 46)",'autumn warm',65.51124529437021,"(156.0, 35.0, '53')",'summer cool ',34.4887547056298,"(208.0, 49.0, '79')",https://www.pixy.co.id/product/pixy-lip-cream
PIXY Lip Cream,pixy,lip,Classic Red,#D7282F,"(215, 40, 47)",'summer cool ',56.64544209646775,"(208.0, 49.0, '79')",'winter deep',43.35455790353224,"(198.0, 31.0, '87')",https://www.pixy.co.id/product/pixy-lip-cream
PIXY Lip Cream,pixy,lip,Fun Fuchsia,#B23879,"(178, 56, 121)",'winter deep',51.88227061537314,"(205.0, 52.0, '135')",'summer soft',48.11772938462686,"(177.0, 89.0, '123')",https://www.pixy.co.id/product/pixy-lip-cream
PIXY Lip Cream,pixy,lip,Edgy Plum,#803134,"(128, 49, 52)",'autumn warm',55.3572839311539,"(133.0, 67.0, '35')",'autumn warm',44.6427160688461,"(156.0, 35.0, '53')",https://www.pixy.co.id/product/pixy-lip-cream
PIXY Lip Cream,pixy,lip,Bold Maroon,#89264F,"(137, 38, 79)",'winter cool',56.14525860906288,"(134.0, 42.0, '91')",'summer cool ',43.85474139093712,"(152.0, 42.0, '85')",https://www.pixy.co.id/product/pixy-lip-cream
