Product Title,Brand,Type,Variant Name,Color HEX,Color RGB,Season 1 Name,Season 1 Percent,S1 Closest Color,Season 2 Name,Season 2 Percent,S2 Closest Color,Product URL
Copy Paste Tinted Sunscreen SPF 40 PA++++ 10ml,somethinc,face,PERLE,#efd4cb,"(239, 212, 203)",'spring clear',52.10256887482664,"(255.0, 191.0, '218')",'autumn soft',47.89743112517336,"(222.0, 193.0, '182')",https://somethinc.com/id/product/detail/copy-paste-tinted-sunscreen-spf-40-pa-10ml
Copy Paste Tinted Sunscreen SPF 40 PA++++ 10ml,somethinc,face,TIFFANY,#c99770,"(201, 151, 112)",'autumn warm',64.31833268240904,"(217.0, 159.0, '113')",'autumn soft',35.68166731759097,"(224.0, 134.0, '127')",https://somethinc.com/id/product/detail/copy-paste-tinted-sunscreen-spf-40-pa-10ml
Copy Paste Tinted Sunscreen SPF 40 PA++++ 10ml,somethinc,face,BUTTER,#e8cbb9,"(232, 203, 185)",'autumn soft',72.61152720323581,"(222.0, 193.0, '182')",'spring light',27.388472796764198,"(253.0, 171.0, '187')",https://somethinc.com/id/product/detail/copy-paste-tinted-sunscreen-spf-40-pa-10ml
Copy Paste Tinted Sunscreen SPF 40 PA++++ 10ml,somethinc,face,LINEN,#dcb79b,"(220, 183, 155)",'autumn soft',56.05172486821603,"(222.0, 193.0, '182')",'spring light',43.94827513178399,"(255.0, 176.0, '146')",https://somethinc.com/id/product/detail/copy-paste-tinted-sunscreen-spf-40-pa-10ml
Copy Paste Tinted Sunscreen SPF 40 PA++++ 10ml,somethinc,face,ALTER,#ddb090,"(221, 176, 144)",'spring light',51.092854901791654,"(255.0, 176.0, '146')",'autumn warm',48.907145098208346,"(217.0, 159.0, '113')",https://somethinc.com/id/product/detail/copy-paste-tinted-sunscreen-spf-40-pa-10ml
Copy Paste Tinted Sunscreen SPF 40 PA++++ 10ml,somethinc,face,BIJOUX,#e7c1a6,"(231, 193, 166)",'autumn soft',64.98720926454111,"(222.0, 193.0, '182')",'spring clear',35.01279073545891,"(253.0, 167.0, '165')",https://somethinc.com/id/product/detail/copy-paste-tinted-sunscreen-spf-40-pa-10ml
Copy Paste Tinted Sunscreen SPF 40 PA++++ 10ml,somethinc,face,COCO,#cfab84,"(207, 171, 132)",'autumn warm',62.517031521914355,"(217.0, 159.0, '113')",'autumn soft',37.48296847808565,"(224.0, 134.0, '127')",https://somethinc.com/id/product/detail/copy-paste-tinted-sunscreen-spf-40-pa-10ml
Copy Paste Tinted Sunscreen SPF 40 PA++++ 10ml,somethinc,face,GODDESS,#daaf90,"(218, 175, 144)",'autumn warm',51.505994641582696,"(217.0, 159.0, '113')",'spring light',48.494005358417304,"(255.0, 176.0, '146')",https://somethinc.com/id/product/detail/copy-paste-tinted-sunscreen-spf-40-pa-10ml
Copy Paste Tinted Sunscreen SPF 40 PA++++ 10ml,somethinc,face,NINA,#e5c0a7,"(229, 192, 167)",'autumn soft',67.67184898074603,"(222.0, 193.0, '182')",'spring clear',32.32815101925396,"(253.0, 167.0, '165')",https://somethinc.com/id/product/detail/copy-paste-tinted-sunscreen-spf-40-pa-10ml
Copy Paste Tinted Sunscreen SPF 40 PA++++ 10ml,somethinc,face,SERENE,#e3bfac,"(227, 191, 172)",'autumn soft',76.05210077731608,"(222.0, 193.0, '182')",'spring light',23.947899222683922,"(253.0, 171.0, '187')",https://somethinc.com/id/product/detail/copy-paste-tinted-sunscreen-spf-40-pa-10ml
Copy Paste Tinted Sunscreen SPF 40 PA++++ 10ml,somethinc,face,CHARLOTTE,#e6c2aa,"(230, 194, 170)",'autumn soft',71.2449606708904,"(222.0, 193.0, '182')",'spring clear',28.7550393291096,"(253.0, 167.0, '165')",https://somethinc.com/id/product/detail/copy-paste-tinted-sunscreen-spf-40-pa-10ml
Copy Paste Tinted Sunscreen SPF 40 PA++++ 10ml,somethinc,face,ECLAIR,#e2bca0,"(226, 188, 160)",'autumn soft',59.99746002179437,"(222.0, 193.0, '182')",'spring light',40.00253997820563,"(255.0, 176.0, '146')",https://somethinc.com/id/product/detail/copy-paste-tinted-sunscreen-spf-40-pa-10ml
HOOMAN Breathable Cushion Cover SPF 35 PA++++,somethinc,face,Perle,#eaccb0,"(234, 204, 176)",'autumn soft',69.55463274944714,"(222.0, 193.0, '182')",'spring light',30.44536725055287,"(253.0, 171.0, '187')",https://somethinc.com/id/product/detail/hooman-breathable-cushion-spf-35-pa
HOOMAN Breathable Cushion Cover SPF 35 PA++++,somethinc,face,Bijoux,#f0cca9,"(240, 204, 169)",'autumn soft',61.28057771687163,"(222.0, 193.0, '182')",'spring light',38.71942228312836,"(255.0, 176.0, '146')",https://somethinc.com/id/product/detail/hooman-breathable-cushion-spf-35-pa
HOOMAN Breathable Cushion Cover SPF 35 PA++++,somethinc,face,Nina,#e9c5a4,"(233, 197, 164)",'autumn soft',62.207155171037364,"(222.0, 193.0, '182')",'spring light',37.792844828962636,"(255.0, 176.0, '146')",https://somethinc.com/id/product/detail/hooman-breathable-cushion-spf-35-pa
HOOMAN Breathable Cushion Cover SPF 35 PA++++,somethinc,face,Serene,#dfbfad,"(223, 191, 173)",'autumn soft',77.5143323039174,"(222.0, 193.0, '182')",'spring clear',22.48566769608261,"(193.0, 190.0, '184')",https://somethinc.com/id/product/detail/hooman-breathable-cushion-spf-35-pa
HOOMAN Breathable Cushion Cover SPF 35 PA++++,somethinc,face,Charlotte,#e3c6a3,"(227, 198, 163)",'autumn soft',66.05982777496506,"(222.0, 193.0, '182')",'spring light',33.94017222503495,"(255.0, 176.0, '146')",https://somethinc.com/id/product/detail/hooman-breathable-cushion-spf-35-pa
HOOMAN Breathable Cushion Cover SPF 35 PA++++,somethinc,face,Eclair,#e3bd9d,"(227, 189, 157)",'autumn soft',55.94494060972464,"(222.0, 193.0, '182')",'spring light',44.05505939027536,"(255.0, 176.0, '146')",https://somethinc.com/id/product/detail/hooman-breathable-cushion-spf-35-pa
HOOMAN Breathable Cushion Cover SPF 35 PA++++,somethinc,face,Coco,#d0c096,"(208, 192, 150)",'autumn soft',51.57485321056067,"(222.0, 193.0, '182')",'spring clear',48.42514678943933,"(193.0, 190.0, '184')",https://somethinc.com/id/product/detail/hooman-breathable-cushion-spf-35-pa
HOOMAN Breathable Cushion Cover SPF 35 PA++++,somethinc,face,Alter,#ac876c,"(172, 135, 108)",'summer light',50.56432798174795,"(164.0, 104.0, '114')",'summer soft',49.43567201825205,"(197.0, 121.0, '125')",https://somethinc.com/id/product/detail/hooman-breathable-cushion-spf-35-pa
