Product Title,Variant Name,Color HEX,Product URL
Watercolor Lip Serum,04 Haze,#efb492,https://www.eminacosmetics.com/watercolor-lip-serum
Watercolor Lip Serum,03 Dusk,#e8b28a,https://www.eminacosmetics.com/watercolor-lip-serum
Daily Matte Compact Powder,01 Light,#e8c5a0,https://www.eminacosmetics.com/daily-matte-compact-powder
Daily Matte Cushion,C01 - Light,#fbd899,https://www.eminacosmetics.com/daily-matte-cushion
Daily Matte BB Cream,01 Light,#eadfcd,https://www.eminacosmetics.com/daily-matte-bb-cream-
Bare with Me Mineral Mild Foundation,Natural,#f0bf9b,https://www.eminacosmetics.com/bare-with-me-mineral-mild-foundation-
Bare with Me Mineral Mild Foundation,Light,#ecc3b2,https://www.eminacosmetics.com/bare-with-me-mineral-mild-foundation-
City Chic CC Cake,Latte,#ecd2b6,https://www.eminacosmetics.com/city-chic-cc-cake
Cheek Lit Blush Stick,Pink,#f39da5,https://www.eminacosmetics.com/cheek-lit-blush-stick
Cheek Lit Blush Stick,Peach,#e8876e,https://www.eminacosmetics.com/cheek-lit-blush-stick
Cheeklit Pressed,Apple Crumble,#e59682,https://www.eminacosmetics.com/cheeklit-pressed
Cheeklit Pressed,Marshmallow Lady,#c88078,https://www.eminacosmetics.com/cheeklit-pressed
Cheeklit Pressed,Cotton Candy,#d37283,https://www.eminacosmetics.com/cheeklit-pressed
Cheeklit Pressed,Bittersweet,#e78e8e,https://www.eminacosmetics.com/cheeklit-pressed
Cheeklit Pressed,Violet Berry,#d68ea9,https://www.eminacosmetics.com/cheeklit-pressed
Emina Cosmetics Official Store,Caramel,#f1b791,https://www.eminacosmetics.com/squeeze-me-up-liquid-concealer
Squeeze Me Up Lip Glass,01. Surf n’ Slide,#bf495f,https://www.eminacosmetics.com/squeeze-me-up-lip-glass-
Squeeze Me Up Lip Glass,02. Stargaze,#b03f45,https://www.eminacosmetics.com/squeeze-me-up-lip-glass-
Liquid Lip Shine,Buttery Nude,#f3d9d6,https://www.eminacosmetics.com/liquid-lip-shine
Sugar Rush,Raspberry Sorbet,#ef6677,https://www.eminacosmetics.com/sugar-rush
Lip Cushion,Get Berry,#d15f63,https://www.eminacosmetics.com/lip-cushion
Creamatte,Emina Creamatte BR24 Brick Chic 4 g,#8a6666,https://www.eminacosmetics.com/creamatte
Creamatte,Bola Ubi,#cd545b,https://www.eminacosmetics.com/creamatte
Creamatte,Emina Creamatte RD21 Amazeballs 4 g,#c68181,https://www.eminacosmetics.com/creamatte
Creamatte,Emina Creamatte PK11 Baby Fox 4 g,#e48c8c,https://www.eminacosmetics.com/creamatte
Creamatte,Emina Creamatte PK12 Pumpkin Spice 4 g,#be8585,https://www.eminacosmetics.com/creamatte
Creamatte,Emina Creamatte PK22 Mauvelous 4 g,#d4787a,https://www.eminacosmetics.com/creamatte
Creamatte,Emina Creamatte 02 Fuzzy Wuzzy 5.5 gr,#c97f7f,https://www.eminacosmetics.com/creamatte
Glossy Stain,Coffee Drop,#bd6630,https://www.eminacosmetics.com/-glossy-stain
Glossy Stain,Apple Shower,#ed3b44,https://www.eminacosmetics.com/-glossy-stain
Glossy Stain,Autumn Bell,#9f2744,https://www.eminacosmetics.com/-glossy-stain
Glossy Stain,Spring Dazzle,#f73b2f,https://www.eminacosmetics.com/-glossy-stain
Magic Potion,Summer,#b51017,https://www.eminacosmetics.com/magic-potion-
Magic Potion,Sienna,#6e1c1f,https://www.eminacosmetics.com/magic-potion-
Magic Potion,Smitten,#a31926,https://www.eminacosmetics.com/magic-potion-
Magic Potion,Sunglow,#cf2c2f,https://www.eminacosmetics.com/magic-potion-
Magic Potion,Sassy,#8a1720,https://www.eminacosmetics.com/magic-potion-
Creamytint,Wild Berry,#d93661,https://www.eminacosmetics.com/creamytint
Creamytint,Sunbeam,#dd4c38,https://www.eminacosmetics.com/creamytint
Creamytint,Peach Crush,#dd6859,https://www.eminacosmetics.com/creamytint
Creamytint,Brick Town,#c34d41,https://www.eminacosmetics.com/creamytint
Creamytint,Cherry Soda,#c83732,https://www.eminacosmetics.com/creamytint
Mattecrush,01 Bunny Hop,#d85555,https://www.eminacosmetics.com/mattecrush-lip
Mattecrush,04 Salmon Fam,#ec3838,https://www.eminacosmetics.com/mattecrush-lip
Mattecrush,02 Mauve Squirrel,#dc5555,https://www.eminacosmetics.com/mattecrush-lip
Mattecrush,03 Red Panda,#d91b1b,https://www.eminacosmetics.com/mattecrush-lip
Mattecrush,06 Racoon Paw,#b52121,https://www.eminacosmetics.com/mattecrush-lip
Poppin Matte x Chatime,13 Brown Sugar Milk Tea,#e29158,https://www.eminacosmetics.com/poppin-matte-x-chatime
Poppin Matte x Chatime,12 Hazelnut Chocolate Milk Tea,#ec8760,https://www.eminacosmetics.com/poppin-matte-x-chatime
Poppin Matte x Chatime,12 Chatime Milk Tea,#e9ac79,https://www.eminacosmetics.com/poppin-matte-x-chatime
Poppin' Matte The 90's Edition,07 Rubic Cubic,#d66d41,https://www.eminacosmetics.com/poppin-matte-the-90s-edition
Squeeze Me Up Lip Matte,04. Lil Dancing,#a5475e,https://www.eminacosmetics.com/squeeze-me-up-lip-matte--
Squeeze Me Up Lip Matte,01. Have a Picnic,#c3366f,https://www.eminacosmetics.com/squeeze-me-up-lip-matte--
Squeeze Me Up Lip Matte,03. City Cycling,#8d3018,https://www.eminacosmetics.com/squeeze-me-up-lip-matte--
Poppin' Matte,Easy Peasy,#ab5b57,https://www.eminacosmetics.com/poppin-matte-
Poppin' Matte,Snatched,#c54444,https://www.eminacosmetics.com/poppin-matte-
Poppin' Matte,Game on,#e5554f,https://www.eminacosmetics.com/poppin-matte-
Poppin' Matte,To Be Honest,#d66965,https://www.eminacosmetics.com/poppin-matte-
Poppin' Matte,Lowkey,#f27f7f,https://www.eminacosmetics.com/poppin-matte-
Pop Rouge Pressed Eye Shadow,Posh,#e7c5d1,https://www.eminacosmetics.com/-pop-rouge-pressed-eye-shadow
Pop Rouge Pressed Eye Shadow,Nude,#8c5e5e,https://www.eminacosmetics.com/-pop-rouge-pressed-eye-shadow
Pop Rouge Pressed Eye Shadow,Colorful,#608189,https://www.eminacosmetics.com/-pop-rouge-pressed-eye-shadow
Pop Rouge Pressed Eye Shadow,Romantic,#67402e,https://www.eminacosmetics.com/-pop-rouge-pressed-eye-shadow
