Product Title,Variant Name,Color HEX,Product URL
"PIXY Make It Glow Dewy Cushion | PIXY - My Beauty, My Energy",Light Beige,#EFCBA3,https://www.pixy.co.id/product/pixy-make-it-glow-dewy-cushion
"PIXY Make It Glow Dewy Cushion | PIXY - My Beauty, My Energy",Natural Beige,#D1AE7D,https://www.pixy.co.id/product/pixy-make-it-glow-dewy-cushion
"PIXY Make It Glow Dewy Cushion | PIXY - My Beauty, My Energy",Medium Beige,#C99D64,https://www.pixy.co.id/product/pixy-make-it-glow-dewy-cushion
"PIXY Make It Glow Dewy Cushion | PIXY - My Beauty, My Energy",Pinkish Beige,#EBBEAF,https://www.pixy.co.id/product/pixy-make-it-glow-dewy-cushion
"PIXY Make It Glow Dewy Cushion | PIXY - My Beauty, My Energy",Sandy Beige,#C68B66,https://www.pixy.co.id/product/pixy-make-it-glow-dewy-cushion
"PIXY Lip Cream | PIXY - My Beauty, My Energy",Chic Rose,#B76B79,https://www.pixy.co.id/product/pixy-lip-cream
"PIXY Lip Cream | PIXY - My Beauty, My Energy",Party Red,#B2292E,https://www.pixy.co.id/product/pixy-lip-cream
"PIXY Lip Cream | PIXY - My Beauty, My Energy",Classic Red,#D7282F,https://www.pixy.co.id/product/pixy-lip-cream
"PIXY Lip Cream | PIXY - My Beauty, My Energy",Fun Fuchsia,#B23879,https://www.pixy.co.id/product/pixy-lip-cream
"PIXY Lip Cream | PIXY - My Beauty, My Energy",Edgy Plum,#803134,https://www.pixy.co.id/product/pixy-lip-cream
"PIXY Lip Cream | PIXY - My Beauty, My Energy",Bold Maroon,#89264F,https://www.pixy.co.id/product/pixy-lip-cream
"PIXY Lip Cream | PIXY - My Beauty, My Energy",Delicate Pink,#212721,https://www.pixy.co.id/product/pixy-lip-cream
"PIXY Lip Cream | PIXY - My Beauty, My Energy",Sweet Choco,#844E42,https://www.pixy.co.id/product/pixy-lip-cream
"PIXY Lip Cream | PIXY - My Beauty, My Energy",Gaudy Orange,#A75248,https://www.pixy.co.id/product/pixy-lip-cream
"PIXY Lip Cream | PIXY - My Beauty, My Energy",Mild Peach,#C76C61,https://www.pixy.co.id/product/pixy-lip-cream
"PIXY Lip Cream | PIXY - My Beauty, My Energy",Urban Berry,#BC3B4A,https://www.pixy.co.id/product/pixy-lip-cream
"PIXY Lip Cream | PIXY - My Beauty, My Energy",Warm Pink,#D65D72,https://www.pixy.co.id/product/pixy-lip-cream
"PIXY Lip Cream | PIXY - My Beauty, My Energy",Uptown Peach,#F16457,https://www.pixy.co.id/product/pixy-lip-cream
"PIXY Lip Cream | PIXY - My Beauty, My Energy",Valentine Peach,#B66C6D,https://www.pixy.co.id/product/pixy-lip-cream
"PIXY Lip Cream | PIXY - My Beauty, My Energy",Burning Peach,#B53F4E,https://www.pixy.co.id/product/pixy-lip-cream
"PIXY Lip Cream | PIXY - My Beauty, My Energy",Cheeky Coral,#D66965,https://www.pixy.co.id/product/pixy-lip-cream
"PIXY Matte in Love | PIXY - My Beauty, My Energy",Pop Pink,#E53E51,https://www.pixy.co.id/product/pixy-matte-in-love
"PIXY Matte in Love | PIXY - My Beauty, My Energy",Divine Rouge,#B12028,https://www.pixy.co.id/product/pixy-matte-in-love
"PIXY Matte in Love | PIXY - My Beauty, My Energy",Red Fushion,#822C41,https://www.pixy.co.id/product/pixy-matte-in-love
"PIXY Matte in Love | PIXY - My Beauty, My Energy",Vibe Pink,#D03266,https://www.pixy.co.id/product/pixy-matte-in-love
"PIXY Matte in Love | PIXY - My Beauty, My Energy",Merry Orange,#B54E4D,https://www.pixy.co.id/product/pixy-matte-in-love
"PIXY Matte in Love | PIXY - My Beauty, My Energy",Excotic Nude,#9F414A,https://www.pixy.co.id/product/pixy-matte-in-love
"PIXY Matte in Love | PIXY - My Beauty, My Energy",Ginger Ale,#AE6C62,https://www.pixy.co.id/product/pixy-matte-in-love
"PIXY MOUSSE MOMENT | PIXY - My Beauty, My Energy",Crowd In Red,#9F1628,https://www.pixy.co.id/product/pixy-mousse-moment
"PIXY MOUSSE MOMENT | PIXY - My Beauty, My Energy",Busiest Maroon,#5F0617,https://www.pixy.co.id/product/pixy-mousse-moment
"PIXY MOUSSE MOMENT | PIXY - My Beauty, My Energy",Calm in Rose,#8A4043,https://www.pixy.co.id/product/pixy-mousse-moment
"PIXY MOUSSE MOMENT | PIXY - My Beauty, My Energy",Relaxing Pink,#873742,https://www.pixy.co.id/product/pixy-mousse-moment
"PIXY MOUSSE MOMENT | PIXY - My Beauty, My Energy",Peacefully Brown,#B88578,https://www.pixy.co.id/product/pixy-mousse-moment
"PIXY MOUSSE MOMENT | PIXY - My Beauty, My Energy",Enjoyable Fuchsia,#A62B4E,https://www.pixy.co.id/product/pixy-mousse-moment
"PIXY Make It Glow Crayonttention | PIXY - My Beauty, My Energy",Maroon VIbes,#9C182F,https://www.pixy.co.id/product/pixy-make-it-glow-crayonttention
"PIXY Make It Glow Crayonttention | PIXY - My Beauty, My Energy",Redcited,#CE0E2D,https://www.pixy.co.id/product/pixy-make-it-glow-crayonttention
"PIXY Make It Glow Crayonttention | PIXY - My Beauty, My Energy",Unbrickable,#A8483D,https://www.pixy.co.id/product/pixy-make-it-glow-crayonttention
"PIXY Make It Glow Crayonttention | PIXY - My Beauty, My Energy",Fuchsiaristic,#B92454,https://www.pixy.co.id/product/pixy-make-it-glow-crayonttention
"PIXY Make It Glow Crayonttention | PIXY - My Beauty, My Energy",Pinkception,#BC3B4A,https://www.pixy.co.id/product/pixy-make-it-glow-crayonttention
"PIXY Make It Glow Crayonttention | PIXY - My Beauty, My Energy",Glamarose,#9A4856,https://www.pixy.co.id/product/pixy-make-it-glow-crayonttention
"PIXY Make It Glow Crayonttention | PIXY - My Beauty, My Energy",Mauvein On,#9C6167,https://www.pixy.co.id/product/pixy-make-it-glow-crayonttention
"PIXY Make It Glow Crayonttention | PIXY - My Beauty, My Energy",Chocolicious,#A75248,https://www.pixy.co.id/product/pixy-make-it-glow-crayonttention
"PIXY Lip Conditioner | PIXY - My Beauty, My Energy",Clear,#FFFFFF,https://www.pixy.co.id/product/pixy-lip-conditioner
"PIXY Lip Conditioner | PIXY - My Beauty, My Energy",Red,#EB0045,https://www.pixy.co.id/product/pixy-lip-conditioner
"PIXY Lip Conditioner | PIXY - My Beauty, My Energy",Orange,#D7282F,https://www.pixy.co.id/product/pixy-lip-conditioner
"PIXY Lip Conditioner | PIXY - My Beauty, My Energy",Pink,#FA7598,https://www.pixy.co.id/product/pixy-lip-conditioner
"PIXY  Silky Fit | PIXY - My Beauty, My Energy",Rich Red,#B30F3A,https://www.pixy.co.id/product/pixy-silky-fit
"PIXY  Silky Fit | PIXY - My Beauty, My Energy",Strawberry Milk,#CD5969,https://www.pixy.co.id/product/pixy-silky-fit
"PIXY  Silky Fit | PIXY - My Beauty, My Energy",Lovely Bloom,#A32D34,https://www.pixy.co.id/product/pixy-silky-fit
"PIXY  Silky Fit | PIXY - My Beauty, My Energy",Cinnamon Twist,#8E1728,https://www.pixy.co.id/product/pixy-silky-fit
"PIXY  Silky Fit | PIXY - My Beauty, My Energy",Carnation,#C22B52,https://www.pixy.co.id/product/pixy-silky-fit
"PIXY  Silky Fit | PIXY - My Beauty, My Energy",Pinkish Peach,#B53F4E,https://www.pixy.co.id/product/pixy-silky-fit
"PIXY  Silky Fit | PIXY - My Beauty, My Energy",Vibrant Fuchsia,#A32861,https://www.pixy.co.id/product/pixy-silky-fit
"PIXY  Silky Fit | PIXY - My Beauty, My Energy",Chic Choco,#8E5040,https://www.pixy.co.id/product/pixy-silky-fit
"PIXY LIP HYDRATING | PIXY - My Beauty, My Energy","Apple, Oh Apple!",#CA244A,https://www.pixy.co.id/product/pixy-lip-hydrating
"PIXY LIP HYDRATING | PIXY - My Beauty, My Energy","Honey, It's Me!",#F05C21,https://www.pixy.co.id/product/pixy-lip-hydrating
"PIXY Twin Blush  | PIXY - My Beauty, My Energy",Pop Terracota,#C76C61,https://www.pixy.co.id/product/pixy-twin-blush
"PIXY Twin Blush  | PIXY - My Beauty, My Energy",Active Pink,#FD495C,https://www.pixy.co.id/product/pixy-twin-blush
"PIXY Twin Blush  | PIXY - My Beauty, My Energy",Pretty Plum,#C56683,https://www.pixy.co.id/product/pixy-twin-blush
"PIXY Twin Blush  | PIXY - My Beauty, My Energy",Neon Orange,#FF8672,https://www.pixy.co.id/product/pixy-twin-blush
"PIXY Twin Blush  | PIXY - My Beauty, My Energy",Stunning Red,#9C182F,https://www.pixy.co.id/product/pixy-twin-blush
"PIXY A Whole New Glow  | PIXY - My Beauty, My Energy",Shining Gold,#F5E2CE,https://www.pixy.co.id/product/pixy-a-whole-new-glow
"PIXY A Whole New Glow  | PIXY - My Beauty, My Energy",Shimmering White,#F4E9E3,https://www.pixy.co.id/product/pixy-a-whole-new-glow
"Pixy Make It Glow Adorable Marble | PIXY - My Beauty, My Energy",Brick Terracota,#C76C61,https://www.pixy.co.id/product/pixy-make-it-glow-adorable-marble
"Pixy Make It Glow Adorable Marble | PIXY - My Beauty, My Energy",Tempting Pink,#FF647D,https://www.pixy.co.id/product/pixy-make-it-glow-adorable-marble
"Pixy Make It Glow Adorable Marble | PIXY - My Beauty, My Energy",Peachy Peach,#FF8672,https://www.pixy.co.id/product/pixy-make-it-glow-adorable-marble
