Product Title,Variant Name,Color HEX,Product URL
Wardah Colorfit Velvet Matte Lip Mousse | Wardah Indonesia,Brown Dreamer,#C38D96,https://www.wardahbeauty.com/id/product/make-up/colorfit-velvet-matte-lip-mousse?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=10
Wardah Colorfit Velvet Matte Lip Mousse | Wardah Indonesia,Joyful Orange,#ff8674,https://www.wardahbeauty.com/id/product/make-up/colorfit-velvet-matte-lip-mousse?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=10
Wardah Colorfit Velvet Matte Lip Mousse | Wardah Indonesia,Rose Ballerina,#cf6f77,https://www.wardahbeauty.com/id/product/make-up/colorfit-velvet-matte-lip-mousse?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=10
Wardah Colorfit Velvet Matte Lip Mousse | Wardah Indonesia,Pink Sweetheart,#b04a5a,https://www.wardahbeauty.com/id/product/make-up/colorfit-velvet-matte-lip-mousse?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=10
Wardah Colorfit Velvet Matte Lip Mousse | Wardah Indonesia,Artisan Mauve,#a75154,https://www.wardahbeauty.com/id/product/make-up/colorfit-velvet-matte-lip-mousse?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=10
Wardah Colorfit Velvet Matte Lip Mousse | Wardah Indonesia,Fuchsia Lover,#c55264,https://www.wardahbeauty.com/id/product/make-up/colorfit-velvet-matte-lip-mousse?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=10
Wardah Colorfit Velvet Matte Lip Mousse | Wardah Indonesia,Red Pioneer,#bc3e44,https://www.wardahbeauty.com/id/product/make-up/colorfit-velvet-matte-lip-mousse?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=10
Wardah Colorfit Velvet Matte Lip Mousse | Wardah Indonesia,Brown Creator,#9f5f54,https://www.wardahbeauty.com/id/product/make-up/colorfit-velvet-matte-lip-mousse?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=10
Wardah Colorfit Velvet Matte Lip Mousse | Wardah Indonesia,Ombre Charmer,#e19372,https://www.wardahbeauty.com/id/product/make-up/colorfit-velvet-matte-lip-mousse?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=10
Wardah Colorfit Velvet Matte Lip Mousse | Wardah Indonesia,Lively Coral,#d95a48,https://www.wardahbeauty.com/id/product/make-up/colorfit-velvet-matte-lip-mousse?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=10
Wardah Colorfit Velvet Matte Lip Mousse | Wardah Indonesia,Cherish Marmalade,#d05349,https://www.wardahbeauty.com/id/product/make-up/colorfit-velvet-matte-lip-mousse?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=10
Wardah Colorfit Velvet Matte Lip Mousse | Wardah Indonesia,Chic Terracota,#bc3f33,https://www.wardahbeauty.com/id/product/make-up/colorfit-velvet-matte-lip-mousse?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=10
Wardah Colorfit Velvet Matte Lip Mousse | Wardah Indonesia,Sweet Cinnamon,#b05a45,https://www.wardahbeauty.com/id/product/make-up/colorfit-velvet-matte-lip-mousse?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=10
Wardah Colorfit Velvet Matte Lip Mousse | Wardah Indonesia, Dainty Caramel,#a9583d,https://www.wardahbeauty.com/id/product/make-up/colorfit-velvet-matte-lip-mousse?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=10
